platform,date,mentions
instagram,2019-08-25,2
instagram,2019-08-26,4
instagram,2019-08-27,2
instagram,2019-08-28,1
instagram,2019-08-30,1
instagram,2019-08-31,2
instagram,2019-09-01,5
instagram,2019-09-02,1
instagram,2019-09-03,2
instagram,2019-09-04,1
instagram,2019-09-05,1
instagram,2019-09-06,1
instagram,2019-09-07,5
instagram,2019-09-08,2
instagram,2019-09-09,4
instagram,2019-09-12,2
instagram,2019-09-13,3
instagram,2019-09-14,3
instagram,2019-09-15,2
instagram,2019-09-17,1
instagram,2019-09-18,1
instagram,2019-09-20,1
instagram,2019-09-21,1
instagram,2019-09-23,2
instagram,2019-09-24,3
instagram,2019-09-27,2
instagram,2019-09-28,1
instagram,2019-09-29,1
instagram,2019-09-30,1
instagram,2019-10-03,2
instagram,2019-10-05,2
instagram,2019-10-06,2
instagram,2019-10-07,1
instagram,2019-10-08,3
instagram,2019-10-10,1
instagram,2019-10-13,2
instagram,2019-10-14,2
instagram,2019-10-15,1
instagram,2019-10-16,1
instagram,2019-10-17,1
instagram,2019-10-19,2
instagram,2019-10-20,4
instagram,2019-10-21,1
instagram,2019-10-22,3
instagram,2019-10-23,2
instagram,2019-10-24,2
instagram,2019-10-25,1
instagram,2019-10-27,1
instagram,2019-10-28,3
instagram,2019-10-29,2
instagram,2019-10-30,1
instagram,2019-10-31,1
instagram,2019-11-03,2
instagram,2019-11-04,1
instagram,2019-11-05,3
instagram,2019-11-08,2
instagram,2019-11-09,1
instagram,2019-11-10,2
instagram,2019-11-11,1
instagram,2019-11-12,1
instagram,2019-11-13,1
instagram,2019-11-14,2
instagram,2019-11-15,1
instagram,2019-11-17,1
instagram,2019-11-18,2
instagram,2019-11-19,2
instagram,2019-11-20,2
instagram,2019-11-21,2
instagram,2019-11-23,1
instagram,2019-11-24,2
instagram,2019-11-26,1
instagram,2019-11-29,2
instagram,2019-12-01,1
instagram,2019-12-02,1
instagram,2019-12-03,1
instagram,2019-12-04,1
instagram,2019-12-11,1
instagram,2019-12-12,1
instagram,2019-12-13,2
instagram,2019-12-14,2
instagram,2019-12-15,1
instagram,2019-12-16,1
instagram,2019-12-19,1
instagram,2019-12-20,2
instagram,2019-12-21,1
instagram,2019-12-22,1
instagram,2019-12-23,4
instagram,2019-12-24,4
instagram,2019-12-25,1
instagram,2019-12-27,1
instagram,2019-12-28,3
instagram,2019-12-29,1
instagram,2019-12-30,1
instagram,2019-12-31,2
instagram,2020-01-02,1
instagram,2020-01-03,2
instagram,2020-01-05,1
instagram,2020-01-06,1
instagram,2020-01-07,2
instagram,2020-01-08,6
instagram,2020-01-09,4
instagram,2020-01-10,1
instagram,2020-01-11,1
instagram,2020-01-12,1
instagram,2020-01-14,1
instagram,2020-01-15,2
instagram,2020-01-19,3
instagram,2020-01-20,1
instagram,2020-01-21,1
instagram,2020-01-24,2
instagram,2020-01-28,1
instagram,2020-01-29,1
instagram,2020-01-30,2
instagram,2020-01-31,2
instagram,2020-02-01,1
instagram,2020-02-02,1
instagram,2020-02-03,3
instagram,2020-02-04,1
instagram,2020-02-05,1
instagram,2020-02-08,2
instagram,2020-02-09,2
instagram,2020-02-11,1
instagram,2020-02-12,1
instagram,2020-02-13,2
instagram,2020-02-14,1
instagram,2020-02-15,2
instagram,2020-02-17,1
instagram,2020-02-22,2
instagram,2020-03-02,2
instagram,2020-03-03,1
instagram,2020-03-04,1
instagram,2020-03-05,3
instagram,2020-03-06,4
instagram,2020-03-07,1
instagram,2020-03-08,1
instagram,2020-03-10,1
instagram,2020-03-13,1
instagram,2020-03-17,2
instagram,2020-03-18,1
instagram,2020-03-20,1
instagram,2020-03-21,1
instagram,2020-03-24,1
instagram,2020-03-25,2
instagram,2020-03-30,1
instagram,2020-03-31,1
instagram,2020-04-02,1
instagram,2020-04-04,1
instagram,2020-04-05,3
instagram,2020-04-07,1
instagram,2020-04-08,2
instagram,2020-04-09,2
instagram,2020-04-10,1
instagram,2020-04-11,1
instagram,2020-04-12,1
instagram,2020-04-13,1
instagram,2020-04-15,4
instagram,2020-04-18,4
instagram,2020-04-19,1
instagram,2020-04-21,2
instagram,2020-04-23,2
instagram,2020-04-24,2
instagram,2020-04-25,2
instagram,2020-04-26,1
instagram,2020-04-28,2
instagram,2020-04-30,1
instagram,2020-05-03,1
instagram,2020-05-05,1
instagram,2020-05-06,1
instagram,2020-05-08,1
instagram,2020-05-11,1
instagram,2020-05-13,1
instagram,2020-05-15,3
instagram,2020-05-16,2
instagram,2020-05-17,2
